radiant,dire,win_radiant,pick_radiant,pick_dire
TSM FTX,Nigma Galaxy,True,"[13, 9, 30, 78, 46]","[58, 80, 114, 88, 33]"
Fnatic,BOOM Esports,True,"[66, 41, 136, 65, 14]","[129, 128, 112, 8, 22]"
BOOM Esports,Fnatic,False,"[23, 112, 9, 12, 40]","[19, 65, 46, 58, 90]"
Team Liquid,OG,False,"[19, 13, 68, 77, 135]","[15, 66, 7, 46, 106]"
OG,Team Liquid,True,"[15, 103, 128, 46, 120]","[66, 80, 88, 33, 17]"
Alliance,Team Secret,False,"[50, 41, 13, 128, 98]","[15, 136, 57, 23, 38]"
Team Secret,Alliance,True,"[136, 15, 119, 98, 114]","[107, 90, 99, 91, 129]"
Entity,Talon,True,"[13, 3, 99, 22, 92]","[50, 126, 43, 100, 15]"
Talon,Entity,False,"[91, 99, 90, 100, 98]","[66, 47, 18, 74, 14]"
Thunder Awaken,Team Aster,False,"[15, 112, 51, 46, 74]","[19, 50, 39, 4, 98]"
Thunder Awaken,Team Aster,False,"[19, 65, 84, 63, 114]","[15, 121, 107, 41, 126]"
Team Secret,Thunder Awaken,True,"[15, 136, 84, 65, 126]","[112, 98, 63, 128, 129]"
Thunder Awaken,Team Secret,False,"[63, 114, 102, 73, 81]","[136, 47, 66, 126, 46]"
Talon,Team Aster,False,"[91, 17, 107, 78, 35]","[19, 13, 121, 47, 99]"
Talon,Team Aster,False,"[135, 41, 126, 128, 73]","[19, 15, 50, 33, 4]"
Alliance,Entity,False,"[47, 19, 37, 14, 21]","[66, 33, 92, 18, 15]"
Alliance,Entity,False,"[47, 19, 37, 41, 43]","[66, 33, 18, 74, 14]"
